Frases,Categoria,Compound
"these long videos help me craft my D&D sessions and some combat intensity, can't get enough!",Neutral,0.1511
Im a truck driver and these mixes make me feel like Im in the cyber punk universe driving around. Good stuff!,Positive,0.69
"Looking forward to the mixtape so i can listen to it when I'm working, to make the time fly by.
Thank you for the great music and mixtapes",Positive,0.765
Beautifully done. Clean and soul soothing....,Positive,0.7506
This channel always drops some great tracks. I am OBSESSED with these genres of electronic music. Cheers!,Positive,0.7235
Great mix. Love Burnout,Positive,0.8519
"Sometimes, music can convey messages and emotions that words cannot.",Neutral,0.0
I simply love songs like this,Positive,0.7717
Outstanding Mix! Great Collection Of Tracks!,Positive,0.8652
"They nail it all the time, such great mixes. I just love their style. Awesome",Positive,0.9246
"You have very good taste, I loved excellent job",Positive,0.9013
"So, part of what I do for a living is drive. Cross county when I do. The constant buildup and cool down of these mixes keeps me focused when nothing else can. Thank you so much! How can I support you?",Positive,0.6987
Your stuff is all I listen to when I read. It's the only thing that seems to settle my mind enough. Thanks.,Positive,0.4404
love this music!!!!!!!!,Positive,0.7482
this song -EKOZ sets me ablaze (Calms me down),Neutral,0.0
"Ideal music for cardio training, Thank You.",Positive,0.7096
"Very cyberpunk bro, I love it!I imagine everything with lights in a pub that is a bass, with smoke, people dancing all extravagant, crazy people, each to their own but at the same time doing all pineapple.BUAH",Positive,0.3234
"her hyptotizing.. .. eyes.
Your composition is so clean. easily relatable riffs",Positive,0.7327
"I usually just hear Trash Metal. But for concentrating and deep work, this is just the best.",Positive,0.7783
On fire,Neutral,-0.34
The art looks dope! Who is she? I'd like the idea of having it as a background in my pc.,Positive,0.4199
PHUCKING AMAZING MIX!!!!,Positive,0.7156
Thank you) GEN!,Positive,0.4199
Got my head bobbing in this electrical substation control room as I do testing. Glad I'm alone haha,Positive,0.6124
I'm happy for CIG to keep XT running to fix the game long term.  However perhaps they need to stop adding content for a patch or two and fix major issues properly before adding antigen else.  This would improve the base experience and perhaps bring more players over all in to the game and give the same total amount of data. Just my 2c,Positive,0.6597
who is Aim To Head? this music just needs the right club/environment to become very popular,Positive,0.4754
Into,Neutral,0.0
Whoevers the artist. He/she has got some seriously crazy talent,Neutral,-0.0772
"Strigoi is a Romanian word (and slavic). Word-by-word, it would be translated ""screaminger"", from the verb ""striga"" which means ""to scream"". You could say it can be translated as ""screamer"", but it is not really that close. Strigoi is a vampire-like creature or a skinwalker, some kind of ugly evil undead, nothing sexy about it, like the thumbnail suggests. And it does not exist, of course. :)",Negative,-0.8557
Top best so father !!,Positive,0.7639
"This is somekind upgrade from ""UNCARED"" . Howewer , thanks",Positive,0.4404
"Makes me want to transform into an animal, become invisible, and to gain vitality from eating a lot.",Positive,0.7184
Amazing  mix,Positive,0.5859
I like,Positive,0.3612
"""Ta da Fak'in BARRICADES!""
Fa NYC!
️
Let's get it!",Neutral,0.0
️,Neutral,0.0
Into,Neutral,0.0
Do you generate it using AI?,Neutral,0.0
Aren't strigoi the vamps from The Strain?,Neutral,-0.0516
COOL,Positive,0.3182
Strig .... languages.,Neutral,0.0
10/10,Neutral,0.0
() yes ️(🫦️),Positive,0.4019
Drive around Helsinki with Audi Rs 6 and get up high,Neutral,0.0
Greetings from (Hell)as,Positive,0.4215
Praise Lilith,Positive,0.5574
MY MARIA,Neutral,0.0
1000000,Neutral,0.0
Looks exactly like my ex.,Positive,0.3612
"""Growl"" has some teeth. Nice.",Positive,0.4215
Ive a got a fever and the only prescription is....,Neutral,0.0
but what that means strigoi,Neutral,0.0
so you guys are romanian ?,Neutral,0.0
Into,Neutral,0.0
I wish to wake up in the morning for such a tin)),Positive,0.4019
"Really ,,,,, I have to have a woman in the house ..... 1 tje who can pay attention ....",Neutral,-0.1027
"PLEASE AIM TO HEAD OFFICIAL,  GO-ON                                                                                                                   DESIGN",Positive,0.3182
bottom,Neutral,0.0
